prelim,timeofday,question
fall2012,morning,"Scholars (e.g., Tocqueville, Lipset, Bollen and Jackman, Treisman) have often observed a strong association between Protestantism and democracy, not only in Western Europe and European- settler colonies, but also in Asian and African countries that were not Protestant European-settler colonies. Drawing on major theories of the development of or conditions for democracy, write an essay that develops one or more arguments to explain the association. Is the association causal? If yes, what is the mechanism? If not, what is the non-causal explanation for the association? "
fall2012,morning,Scholars of welfare state have suggested that America is exceptional in that its welfare programs developed late and also their coverage is relatively inadequate. Is American welfare state really exceptional? Discuss scholarly works on historical development of American welfare regime and offer your evaluations. 
fall2012,morning,"Over the last fifteen years, increasing attention has been paid to an ""eventful approach"" to political phenomena. Brubaker (2001) for instance has suggested that such an approach should be applied to nationalism. Referring to the relevant authors, outline what in your view is the gist of an ""eventful approach"" to political sociology and then discuss what could be the point of such an approach when we study nationalism and nationalist movements."
fall2012,morning,"In his book on revolutions and revolutionary movements, Goodwin argues that “the success or failure of revolutionary movements depends ...upon the nature of specific states that revolutionaries have sought to overthrow” (No Other Way Out, p. 24). Drawing on the literature on revolutions past and contemporary, discuss the empirical and analytical soundness of this statement."
fall2012,morning,"Civil society is one of the central concepts in political sociology. Choose two different analytic approaches to civil society and examine their contributions and drawbacks. In your essay, a) briefly describe each approach, summarizing what civil society means in each approach and what kinds of relationships, groups, institutions it includes or highlight; b) discuss what theoretical and empirical weaknesses in earlier research are addressed by each approach; 3) compare and contrast the two approaches and offer your assessment on which approach has the most promise for advancing empirical research."
fall2012,morning,"Are states agents, actors or arenas? Write an essay comparing and contrasting the answer to this question for three or more general theoretical conceptions of the relation between state and society."
fall2012,afternoon,"Two decades ago, one could reasonably claim that McAdam’s political process model of political mobilization had become a referential model for any full-fledged analysis of collective mobilization. Do you view this characterization of the field as appropriate nowadays? Write an essay that (1) sketches the political process model and then (2) either defends or refutes the claim that this model is still referential with references to recent work on collective mobilization."
fall2012,afternoon,"In recent Presidential elections in the United States (including the current one), there has been much discussion on how white, working class voters have defected from the Democratic Party and tend to vote for Republican candidates, whereas more affluent and educated voters in liberal states vote for Democratic candidates. What do political sociologists know about class and voting behaviors in the U.S.? Has there been “de-alignment” between social class and how people vote in national elections? What are the theoretical or historical explanations of class voting and “de- alignment” proposed by scholars? What do recent empirical studies suggest about class voting in the U.S.?"
fall2012,afternoon,"The US has seen two waves of popular protest in the past three years, first the Tea Party protests of 2009-10 and then the wave of protests beginning with the Wisconsin uprising and supportive labor protests elsewhere and followed by (flowing into?) the Occupy protests. Both protest waves were linked somehow to partisan electoral politics, but participants and analysts disputed the nature of these links. How do these protest waves fit into the broader literature on the relation between social movements and institutional and electoral politics? In writing your essay, provide a summary of prior theory and research about the issue generally, and then discuss the extent to which these two protest waves fit into or are at variance with prior research."
fall2012,afternoon,"""Identity politics” seems to be a major feature of political life in the US, Europe, and elsewhere. Write an essay in which you: (1) discuss how the idea of a political or collective identity has been defined by political sociologists and (2) discuss theoretical and empirical work on the significance of political or collective identity in electoral politics and/or social movements and protest. (3) Consider whether identity politics is best understand as a distinct kind of politics to be contrasted with other kinds of politics or best understood as a theoretical process that occurs in all politics. You may restrict your empirical discussions to particular forms of action or regions."
fall2012,afternoon,The notions of Fascists and Fascism have made a comeback in public discussions with the notion of “Islamic fascism” applied to radical Islamist movements. How do you assess the relevance of this notion in light of the literature on (1) the structural and/or conjunctural factors conditioning the emergence of Fascist movements and (2) their ideology.
winter2012,morning,"For quite some time, analysts of the nation-state have emphasized the need to analytically distinguish between state formation and nation building. Yet, in the contemporary period, these two processes have been closely related. Write an essay in which you discuss how political sociology highlights the relation between nation and state. Begin by clarifying how nation and state are distinguished in the theories you are using and clearly indicate which research traditions you will engage."
winter2012,morning,"Theories of the welfare state have been primarily elaborated to account for the emergence of welfare state institutions in Western Europe and North America. How well do these models highlight the changes and the resilience of the welfare states in affluent Western countries since the 1980s? In your answer, pick three of the models, briefly summarize their key arguments on the development of welfare state in Western countries, and assess their respective strengths and weaknesses to explain the changes of welfare states since the 1980s."
winter2012,morning,"Broadly-construed rational action models or assumptions undergird a great deal of political sociology. Write an essay in which you summarize and evaluate several lines of political sociology in the broad rational action tradition, discussing the assumptions made, conclusions reached, extent to which the theory provides a good account of the phenomena in question, and strengths and limitations of the work. NOTE: By ""broadly construed"" is meant approaches that go beyond assumptions of narrow economic self-interest to include collective benefits or goals and normative and value concerns, as well as adaptive learning models, uncertainty models and others that relax the strict assumptions of narrow rational choice models."
winter2012,morning,"Since the publication of Putnam’s Making Democracy Work, there has been much debate on the relationship between social capital and democracy in a complex society. Several authors have criticized Putnam’s conceptualization of social capital as well as his claims regarding its manifold positive effects in a complex society. Summarize the key claims of both Putnam and his critics, and provide your own assessment. Do you think social capital still offers a useful framework for research on political and economic institutions in a complex society?"
winter2012,morning,"The notion of populism is widely used in both journalistic and scholarly circles to describe movements and politicians whose appeals to the ""people"" are perceived as a threat to democratic institutions. Drawing on the social-scientific uses of the notion and on past and contemporary examples, discuss its possible relevance for our understanding of political challenges within democratic polities."
